crop,period_start,period_end,label,mean_C,std_C,var_C,temp_status,temp_detail,temp_score
wheat,2016-01-01,2016-01-15,2016-01_Q1,24.51,2.58,6.66,VIABLE_WITH_RESERVE,warm for crop,0.915
wheat,2016-01-16,2016-01-31,2016-01_Q2,25.03,3.9,15.19,VIABLE_WITH_RESERVE,warm for crop,0.8283
wheat,2016-02-01,2016-02-15,2016-02_Q1,27.37,3.69,13.59,VIABLE_WITH_RESERVE,warm for crop,0.4383
wheat,2016-02-16,2016-02-29,2016-02_Q2,23.94,2.9,8.39,VIABLE,optimal temperature range,1.0
wheat,2016-03-01,2016-03-15,2016-03_Q1,25.13,2.67,7.1,VIABLE_WITH_RESERVE,warm for crop,0.8117
wheat,2016-03-16,2016-03-31,2016-03_Q2,24.45,2.06,4.25,VIABLE_WITH_RESERVE,warm for crop,0.925
wheat,2016-04-01,2016-04-15,2016-04_Q1,22.5,1.21,1.48,VIABLE,optimal temperature range,1.0
wheat,2016-04-16,2016-04-30,2016-04_Q2,20.79,2.43,5.93,VIABLE,optimal temperature range,1.0
wheat,2016-05-01,2016-05-15,2016-05_Q1,17.66,1.18,1.38,VIABLE,optimal temperature range,1.0
wheat,2016-05-16,2016-05-31,2016-05_Q2,16.83,1.21,1.47,VIABLE,optimal temperature range,1.0
wheat,2016-06-01,2016-06-15,2016-06_Q1,15.27,1.85,3.44,VIABLE,optimal temperature range,1.0
wheat,2016-06-16,2016-06-30,2016-06_Q2,14.34,1.57,2.47,VIABLE,optimal temperature range,1.0
wheat,2016-07-01,2016-07-15,2016-07_Q1,14.0,1.46,2.14,VIABLE,optimal temperature range,1.0
wheat,2016-07-16,2016-07-31,2016-07_Q2,13.85,2.13,4.53,VIABLE,optimal temperature range,1.0
wheat,2016-08-01,2016-08-15,2016-08_Q1,14.0,1.25,1.56,VIABLE,optimal temperature range,1.0
wheat,2016-08-16,2016-08-31,2016-08_Q2,13.9,1.64,2.69,VIABLE,optimal temperature range,1.0
wheat,2016-09-01,2016-09-15,2016-09_Q1,15.03,0.94,0.89,VIABLE,optimal temperature range,1.0
wheat,2016-09-16,2016-09-30,2016-09_Q2,14.73,1.17,1.37,VIABLE,optimal temperature range,1.0
wheat,2016-10-01,2016-10-15,2016-10_Q1,18.02,2.84,8.09,VIABLE,optimal temperature range,1.0
wheat,2016-10-16,2016-10-31,2016-10_Q2,18.12,1.75,3.05,VIABLE,optimal temperature range,1.0
wheat,2016-11-01,2016-11-15,2016-11_Q1,20.93,3.14,9.85,VIABLE,optimal temperature range,1.0
