crop,period_start,period_end,label,mean_C,std_C,var_C,temp_status,temp_detail,temp_score
wheat,2016-01-01,2016-01-15,2016-01_Q1,27.51,4.67,21.86,VIABLE_WITH_RESERVE,warm for crop,0.415
wheat,2016-01-16,2016-01-31,2016-01_Q2,25.86,4.06,16.51,VIABLE_WITH_RESERVE,warm for crop,0.69
wheat,2016-02-01,2016-02-15,2016-02_Q1,27.13,3.13,9.82,VIABLE_WITH_RESERVE,warm for crop,0.4783
wheat,2016-02-16,2016-02-29,2016-02_Q2,27.96,3.98,15.85,VIABLE_WITH_RESERVE,warm for crop,0.34
wheat,2016-03-01,2016-03-15,2016-03_Q1,30.73,1.77,3.13,NOT_RECOMMENDED,too hot for crop,0.0
wheat,2016-03-16,2016-03-31,2016-03_Q2,20.77,2.85,8.11,VIABLE,optimal temperature range,1.0
wheat,2016-04-01,2016-04-15,2016-04_Q1,20.36,2.3,5.29,VIABLE,optimal temperature range,1.0
wheat,2016-04-16,2016-04-30,2016-04_Q2,20.52,1.96,3.86,VIABLE,optimal temperature range,1.0
wheat,2016-05-01,2016-05-15,2016-05_Q1,16.05,1.88,3.52,VIABLE,optimal temperature range,1.0
wheat,2016-05-16,2016-05-31,2016-05_Q2,12.66,2.52,6.37,VIABLE,optimal temperature range,1.0
wheat,2016-06-01,2016-06-15,2016-06_Q1,11.16,1.82,3.32,VIABLE,optimal temperature range,1.0
wheat,2016-06-16,2016-06-30,2016-06_Q2,10.25,2.58,6.64,VIABLE,optimal temperature range,1.0
wheat,2016-07-01,2016-07-15,2016-07_Q1,9.96,1.53,2.35,VIABLE_WITH_RESERVE,cool for crop,0.992
wheat,2016-07-16,2016-07-31,2016-07_Q2,12.13,2.9,8.4,VIABLE,optimal temperature range,1.0
wheat,2016-08-01,2016-08-15,2016-08_Q1,10.46,1.32,1.74,VIABLE,optimal temperature range,1.0
wheat,2016-08-16,2016-08-31,2016-08_Q2,11.8,2.99,8.94,VIABLE,optimal temperature range,1.0
wheat,2016-09-01,2016-09-15,2016-09_Q1,13.4,2.02,4.07,VIABLE,optimal temperature range,1.0
wheat,2016-09-16,2016-09-30,2016-09_Q2,12.76,1.71,2.92,VIABLE,optimal temperature range,1.0
wheat,2016-10-01,2016-10-15,2016-10_Q1,15.05,3.28,10.78,VIABLE,optimal temperature range,1.0
wheat,2016-10-16,2016-10-31,2016-10_Q2,16.3,3.6,12.96,VIABLE,optimal temperature range,1.0
wheat,2016-11-01,2016-11-15,2016-11_Q1,19.32,3.38,11.4,VIABLE,optimal temperature range,1.0
wheat,2016-11-16,2016-11-30,2016-11_Q2,23.58,4.41,19.47,VIABLE,optimal temperature range,1.0
wheat,2016-12-01,2016-12-15,2016-12_Q1,24.1,4.1,16.83,VIABLE_WITH_RESERVE,warm for crop,0.9833
wheat,2016-12-16,2016-12-31,2016-12_Q2,26.33,4.03,16.25,VIABLE_WITH_RESERVE,warm for crop,0.6117
wheat,2017-01-01,2017-01-15,2017-01_Q1,28.4,2.88,8.28,VIABLE_WITH_RESERVE,warm for crop,0.2667
wheat,2017-01-16,2017-01-31,2017-01_Q2,29.35,3.51,12.34,VIABLE_WITH_RESERVE,warm for crop,0.1083
wheat,2017-02-01,2017-02-15,2017-02_Q1,29.13,5.46,29.76,VIABLE_WITH_RESERVE,warm for crop,0.145
wheat,2017-02-16,2017-02-28,2017-02_Q2,24.9,3.72,13.86,VIABLE_WITH_RESERVE,warm for crop,0.85
wheat,2017-03-01,2017-03-15,2017-03_Q1,25.57,1.93,3.74,VIABLE_WITH_RESERVE,warm for crop,0.7383
wheat,2017-03-16,2017-03-31,2017-03_Q2,24.21,3.56,12.69,VIABLE_WITH_RESERVE,warm for crop,0.965
wheat,2017-04-01,2017-04-15,2017-04_Q1,18.75,2.33,5.45,VIABLE,optimal temperature range,1.0
wheat,2017-04-16,2017-04-30,2017-04_Q2,18.21,3.6,12.93,VIABLE,optimal temperature range,1.0
wheat,2017-05-01,2017-05-15,2017-05_Q1,13.83,1.94,3.75,VIABLE,optimal temperature range,1.0
wheat,2017-05-16,2017-05-31,2017-05_Q2,13.17,2.37,5.61,VIABLE,optimal temperature range,1.0
wheat,2017-06-01,2017-06-15,2017-06_Q1,9.42,1.74,3.03,VIABLE_WITH_RESERVE,cool for crop,0.884
wheat,2017-06-16,2017-06-30,2017-06_Q2,9.22,1.45,2.11,VIABLE_WITH_RESERVE,cool for crop,0.844
wheat,2017-07-01,2017-07-15,2017-07_Q1,9.97,1.48,2.18,VIABLE_WITH_RESERVE,cool for crop,0.994
wheat,2017-07-16,2017-07-31,2017-07_Q2,11.14,2.56,6.56,VIABLE,optimal temperature range,1.0
wheat,2017-08-01,2017-08-15,2017-08_Q1,11.69,2.7,7.27,VIABLE,optimal temperature range,1.0
wheat,2017-08-16,2017-08-31,2017-08_Q2,9.95,1.74,3.01,VIABLE_WITH_RESERVE,cool for crop,0.99
wheat,2017-09-01,2017-09-15,2017-09_Q1,14.0,3.59,12.91,VIABLE,optimal temperature range,1.0
wheat,2017-09-16,2017-09-30,2017-09_Q2,17.74,4.58,20.99,VIABLE,optimal temperature range,1.0
wheat,2017-10-01,2017-10-15,2017-10_Q1,19.35,2.51,6.32,VIABLE,optimal temperature range,1.0
wheat,2017-10-16,2017-10-31,2017-10_Q2,20.01,3.65,13.31,VIABLE,optimal temperature range,1.0
wheat,2017-11-01,2017-11-15,2017-11_Q1,21.36,3.97,15.78,VIABLE,optimal temperature range,1.0
wheat,2017-11-16,2017-11-30,2017-11_Q2,25.77,2.69,7.23,VIABLE_WITH_RESERVE,warm for crop,0.705
wheat,2017-12-01,2017-12-15,2017-12_Q1,22.91,5.38,28.92,VIABLE,optimal temperature range,1.0
wheat,2017-12-16,2017-12-31,2017-12_Q2,28.75,3.37,11.34,VIABLE_WITH_RESERVE,warm for crop,0.2083
wheat,2018-01-01,2018-01-15,2018-01_Q1,27.93,4.82,23.25,VIABLE_WITH_RESERVE,warm for crop,0.345
wheat,2018-01-16,2018-01-31,2018-01_Q2,30.61,4.38,19.21,NOT_RECOMMENDED,too hot for crop,0.0
wheat,2018-02-01,2018-02-15,2018-02_Q1,27.76,3.81,14.49,VIABLE_WITH_RESERVE,warm for crop,0.3733
wheat,2018-02-16,2018-02-28,2018-02_Q2,27.09,2.2,4.83,VIABLE_WITH_RESERVE,warm for crop,0.485
wheat,2018-03-01,2018-03-15,2018-03_Q1,24.69,1.64,2.69,VIABLE_WITH_RESERVE,warm for crop,0.885
wheat,2018-03-16,2018-03-31,2018-03_Q2,23.56,3.43,11.8,VIABLE,optimal temperature range,1.0
wheat,2018-04-01,2018-04-15,2018-04_Q1,24.42,2.99,8.91,VIABLE_WITH_RESERVE,warm for crop,0.93
wheat,2018-04-16,2018-04-30,2018-04_Q2,20.06,2.32,5.38,VIABLE,optimal temperature range,1.0
wheat,2018-05-01,2018-05-15,2018-05_Q1,15.41,3.41,11.6,VIABLE,optimal temperature range,1.0
wheat,2018-05-16,2018-05-31,2018-05_Q2,13.34,2.33,5.43,VIABLE,optimal temperature range,1.0
wheat,2018-06-01,2018-06-15,2018-06_Q1,12.22,1.84,3.4,VIABLE,optimal temperature range,1.0
wheat,2018-06-16,2018-06-30,2018-06_Q2,9.05,0.89,0.79,VIABLE_WITH_RESERVE,cool for crop,0.81
wheat,2018-07-01,2018-07-15,2018-07_Q1,9.26,2.46,6.06,VIABLE_WITH_RESERVE,cool for crop,0.852
wheat,2018-07-16,2018-07-31,2018-07_Q2,11.52,1.91,3.63,VIABLE,optimal temperature range,1.0
wheat,2018-08-01,2018-08-15,2018-08_Q1,11.95,2.22,4.92,VIABLE,optimal temperature range,1.0
wheat,2018-08-16,2018-08-31,2018-08_Q2,11.39,2.26,5.13,VIABLE,optimal temperature range,1.0
wheat,2018-09-01,2018-09-15,2018-09_Q1,14.55,2.96,8.75,VIABLE,optimal temperature range,1.0
wheat,2018-09-16,2018-09-30,2018-09_Q2,15.34,2.54,6.47,VIABLE,optimal temperature range,1.0
wheat,2018-10-01,2018-10-15,2018-10_Q1,19.22,2.47,6.09,VIABLE,optimal temperature range,1.0
wheat,2018-10-16,2018-10-31,2018-10_Q2,20.2,2.81,7.91,VIABLE,optimal temperature range,1.0
wheat,2018-11-01,2018-11-15,2018-11_Q1,22.45,4.88,23.83,VIABLE,optimal temperature range,1.0
wheat,2018-11-16,2018-11-30,2018-11_Q2,21.52,3.3,10.91,VIABLE,optimal temperature range,1.0
wheat,2018-12-01,2018-12-15,2018-12_Q1,25.54,4.88,23.83,VIABLE_WITH_RESERVE,warm for crop,0.7433
wheat,2018-12-16,2018-12-31,2018-12_Q2,30.16,4.68,21.94,NOT_RECOMMENDED,too hot for crop,0.0
wheat,2019-01-01,2019-01-15,2019-01_Q1,31.83,4.19,17.53,NOT_RECOMMENDED,too hot for crop,0.0
wheat,2019-01-16,2019-01-31,2019-01_Q2,33.11,4.23,17.88,NOT_RECOMMENDED,too hot for crop,0.0
wheat,2019-02-01,2019-02-15,2019-02_Q1,26.29,5.02,25.17,VIABLE_WITH_RESERVE,warm for crop,0.6183
wheat,2019-02-16,2019-02-28,2019-02_Q2,27.19,2.62,6.86,VIABLE_WITH_RESERVE,warm for crop,0.4683
wheat,2019-03-01,2019-03-15,2019-03_Q1,25.47,3.82,14.55,VIABLE_WITH_RESERVE,warm for crop,0.755
wheat,2019-03-16,2019-03-31,2019-03_Q2,23.04,4.91,24.07,VIABLE,optimal temperature range,1.0
wheat,2019-04-01,2019-04-15,2019-04_Q1,20.58,2.75,7.54,VIABLE,optimal temperature range,1.0
wheat,2019-04-16,2019-04-30,2019-04_Q2,19.49,4.21,17.76,VIABLE,optimal temperature range,1.0
wheat,2019-05-01,2019-05-15,2019-05_Q1,13.61,2.6,6.77,VIABLE,optimal temperature range,1.0
wheat,2019-05-16,2019-05-31,2019-05_Q2,14.14,3.04,9.26,VIABLE,optimal temperature range,1.0
wheat,2019-06-01,2019-06-15,2019-06_Q1,12.18,2.94,8.63,VIABLE,optimal temperature range,1.0
wheat,2019-06-16,2019-06-30,2019-06_Q2,9.52,2.76,7.62,VIABLE_WITH_RESERVE,cool for crop,0.904
wheat,2019-07-01,2019-07-15,2019-07_Q1,11.12,1.92,3.7,VIABLE,optimal temperature range,1.0
wheat,2019-07-16,2019-07-31,2019-07_Q2,11.07,0.93,0.86,VIABLE,optimal temperature range,1.0
wheat,2019-08-01,2019-08-15,2019-08_Q1,9.77,1.71,2.92,VIABLE_WITH_RESERVE,cool for crop,0.954
wheat,2019-08-16,2019-08-31,2019-08_Q2,11.43,1.68,2.81,VIABLE,optimal temperature range,1.0
wheat,2019-09-01,2019-09-15,2019-09_Q1,14.98,3.55,12.62,VIABLE,optimal temperature range,1.0
wheat,2019-09-16,2019-09-30,2019-09_Q2,15.9,3.22,10.38,VIABLE,optimal temperature range,1.0
wheat,2019-10-01,2019-10-15,2019-10_Q1,20.77,4.04,16.31,VIABLE,optimal temperature range,1.0
wheat,2019-10-16,2019-10-31,2019-10_Q2,21.25,4.38,19.18,VIABLE,optimal temperature range,1.0
wheat,2019-11-01,2019-11-15,2019-11_Q1,19.17,4.01,16.05,VIABLE,optimal temperature range,1.0
wheat,2019-11-16,2019-11-30,2019-11_Q2,24.54,4.41,19.49,VIABLE_WITH_RESERVE,warm for crop,0.91
wheat,2019-12-01,2019-12-15,2019-12_Q1,23.47,4.38,19.16,VIABLE,optimal temperature range,1.0
wheat,2019-12-16,2019-12-31,2019-12_Q2,32.42,2.96,8.77,NOT_RECOMMENDED,too hot for crop,0.0
wheat,2020-01-01,2020-01-15,2020-01_Q1,29.7,3.24,10.51,VIABLE_WITH_RESERVE,warm for crop,0.05
wheat,2020-01-16,2020-01-31,2020-01_Q2,28.18,4.6,21.13,VIABLE_WITH_RESERVE,warm for crop,0.3033
wheat,2020-02-01,2020-02-15,2020-02_Q1,25.19,3.68,13.54,VIABLE_WITH_RESERVE,warm for crop,0.8017
wheat,2020-02-16,2020-02-29,2020-02_Q2,24.59,2.8,7.81,VIABLE_WITH_RESERVE,warm for crop,0.9017
wheat,2020-03-01,2020-03-15,2020-03_Q1,21.65,2.03,4.13,VIABLE,optimal temperature range,1.0
wheat,2020-03-16,2020-03-31,2020-03_Q2,21.56,2.09,4.36,VIABLE,optimal temperature range,1.0
wheat,2020-04-01,2020-04-15,2020-04_Q1,16.6,2.53,6.4,VIABLE,optimal temperature range,1.0
wheat,2020-04-16,2020-04-30,2020-04_Q2,16.15,2.65,7.01,VIABLE,optimal temperature range,1.0
wheat,2020-05-01,2020-05-15,2020-05_Q1,12.27,2.33,5.44,VIABLE,optimal temperature range,1.0
wheat,2020-05-16,2020-05-31,2020-05_Q2,12.01,1.7,2.89,VIABLE,optimal temperature range,1.0
wheat,2020-06-01,2020-06-15,2020-06_Q1,10.19,1.74,3.03,VIABLE,optimal temperature range,1.0
wheat,2020-06-16,2020-06-30,2020-06_Q2,10.71,2.01,4.04,VIABLE,optimal temperature range,1.0
wheat,2020-07-01,2020-07-15,2020-07_Q1,9.72,2.04,4.18,VIABLE_WITH_RESERVE,cool for crop,0.944
wheat,2020-07-16,2020-07-31,2020-07_Q2,9.54,1.32,1.74,VIABLE_WITH_RESERVE,cool for crop,0.908
wheat,2020-08-01,2020-08-15,2020-08_Q1,10.11,2.53,6.4,VIABLE,optimal temperature range,1.0
wheat,2020-08-16,2020-08-31,2020-08_Q2,10.13,1.92,3.68,VIABLE,optimal temperature range,1.0
wheat,2020-09-01,2020-09-15,2020-09_Q1,15.64,2.34,5.49,VIABLE,optimal temperature range,1.0
wheat,2020-09-16,2020-09-30,2020-09_Q2,15.53,4.14,17.11,VIABLE,optimal temperature range,1.0
wheat,2020-10-01,2020-10-15,2020-10_Q1,19.31,4.22,17.78,VIABLE,optimal temperature range,1.0
wheat,2020-10-16,2020-10-31,2020-10_Q2,17.9,3.15,9.91,VIABLE,optimal temperature range,1.0
wheat,2020-11-01,2020-11-15,2020-11_Q1,22.37,4.39,19.27,VIABLE,optimal temperature range,1.0
wheat,2020-11-16,2020-11-30,2020-11_Q2,27.87,4.63,21.42,VIABLE_WITH_RESERVE,warm for crop,0.355
wheat,2020-12-01,2020-12-15,2020-12_Q1,23.47,3.43,11.8,VIABLE,optimal temperature range,1.0
wheat,2020-12-16,2020-12-31,2020-12_Q2,23.99,3.27,10.69,VIABLE,optimal temperature range,1.0
wheat,2021-01-01,2021-01-15,2021-01_Q1,25.75,3.33,11.07,VIABLE_WITH_RESERVE,warm for crop,0.7083
wheat,2021-01-16,2021-01-31,2021-01_Q2,26.55,4.15,17.21,VIABLE_WITH_RESERVE,warm for crop,0.575
wheat,2021-02-01,2021-02-15,2021-02_Q1,23.22,2.31,5.34,VIABLE,optimal temperature range,1.0
wheat,2021-02-16,2021-02-28,2021-02_Q2,24.64,2.65,7.04,VIABLE_WITH_RESERVE,warm for crop,0.8933
wheat,2021-03-01,2021-03-15,2021-03_Q1,21.98,2.66,7.08,VIABLE,optimal temperature range,1.0
wheat,2021-03-16,2021-03-31,2021-03_Q2,19.05,2.02,4.07,VIABLE,optimal temperature range,1.0
wheat,2021-04-01,2021-04-15,2021-04_Q1,18.96,3.37,11.34,VIABLE,optimal temperature range,1.0
wheat,2021-04-16,2021-04-30,2021-04_Q2,14.73,1.57,2.45,VIABLE,optimal temperature range,1.0
wheat,2021-05-01,2021-05-15,2021-05_Q1,15.49,2.92,8.54,VIABLE,optimal temperature range,1.0
wheat,2021-05-16,2021-05-31,2021-05_Q2,11.99,2.28,5.2,VIABLE,optimal temperature range,1.0
wheat,2021-06-01,2021-06-15,2021-06_Q1,10.74,1.96,3.84,VIABLE,optimal temperature range,1.0
wheat,2021-06-16,2021-06-30,2021-06_Q2,11.0,1.3,1.7,VIABLE,optimal temperature range,1.0
wheat,2021-07-01,2021-07-15,2021-07_Q1,9.25,1.84,3.39,VIABLE_WITH_RESERVE,cool for crop,0.85
wheat,2021-07-16,2021-07-31,2021-07_Q2,10.3,2.35,5.5,VIABLE,optimal temperature range,1.0
wheat,2021-08-01,2021-08-15,2021-08_Q1,11.13,1.51,2.29,VIABLE,optimal temperature range,1.0
wheat,2021-08-16,2021-08-31,2021-08_Q2,11.72,2.54,6.46,VIABLE,optimal temperature range,1.0
wheat,2021-09-01,2021-09-15,2021-09_Q1,14.25,4.04,16.35,VIABLE,optimal temperature range,1.0
