crop,period_start,period_end,label,mean_C,std_C,var_C,temp_status,temp_detail,temp_score
wheat,2016-01-01,2016-01-15,2016-01_Q1,23.83,4.68,21.87,VIABLE,optimal temperature range,1.0
wheat,2016-01-16,2016-01-31,2016-01_Q2,23.16,3.06,9.38,VIABLE,optimal temperature range,1.0
wheat,2016-02-01,2016-02-15,2016-02_Q1,23.17,2.39,5.7,VIABLE,optimal temperature range,1.0
wheat,2016-02-16,2016-02-29,2016-02_Q2,25.76,3.02,9.14,VIABLE_WITH_RESERVE,warm for crop,0.7067
wheat,2016-03-01,2016-03-15,2016-03_Q1,26.77,1.53,2.35,VIABLE_WITH_RESERVE,warm for crop,0.5383
wheat,2016-03-16,2016-03-31,2016-03_Q2,18.92,2.28,5.2,VIABLE,optimal temperature range,1.0
wheat,2016-04-01,2016-04-15,2016-04_Q1,19.78,2.24,5.03,VIABLE,optimal temperature range,1.0
wheat,2016-04-16,2016-04-30,2016-04_Q2,18.02,1.5,2.24,VIABLE,optimal temperature range,1.0
wheat,2016-05-01,2016-05-15,2016-05_Q1,13.54,1.89,3.56,VIABLE,optimal temperature range,1.0
wheat,2016-05-16,2016-05-31,2016-05_Q2,10.69,2.54,6.46,VIABLE,optimal temperature range,1.0
wheat,2016-06-01,2016-06-15,2016-06_Q1,9.99,2.48,6.15,VIABLE_WITH_RESERVE,cool for crop,0.998
wheat,2016-06-16,2016-06-30,2016-06_Q2,8.43,3.14,9.86,VIABLE_WITH_RESERVE,cool for crop,0.686
wheat,2016-07-01,2016-07-15,2016-07_Q1,8.3,2.21,4.89,VIABLE_WITH_RESERVE,cool for crop,0.66
wheat,2016-07-16,2016-07-31,2016-07_Q2,9.73,3.16,9.99,VIABLE_WITH_RESERVE,cool for crop,0.946
wheat,2016-08-01,2016-08-15,2016-08_Q1,8.61,1.38,1.9,VIABLE_WITH_RESERVE,cool for crop,0.722
wheat,2016-08-16,2016-08-31,2016-08_Q2,9.18,2.55,6.48,VIABLE_WITH_RESERVE,cool for crop,0.836
wheat,2016-09-01,2016-09-15,2016-09_Q1,11.44,2.1,4.41,VIABLE,optimal temperature range,1.0
wheat,2016-09-16,2016-09-30,2016-09_Q2,11.14,1.48,2.2,VIABLE,optimal temperature range,1.0
wheat,2016-10-01,2016-10-15,2016-10_Q1,12.59,3.16,9.96,VIABLE,optimal temperature range,1.0
wheat,2016-10-16,2016-10-31,2016-10_Q2,14.16,3.67,13.49,VIABLE,optimal temperature range,1.0
wheat,2016-11-01,2016-11-15,2016-11_Q1,16.57,3.2,10.26,VIABLE,optimal temperature range,1.0
wheat,2016-11-16,2016-11-30,2016-11_Q2,20.82,3.19,10.16,VIABLE,optimal temperature range,1.0
wheat,2016-12-01,2016-12-15,2016-12_Q1,22.36,3.65,13.34,VIABLE,optimal temperature range,1.0
wheat,2016-12-16,2016-12-31,2016-12_Q2,23.88,3.14,9.88,VIABLE,optimal temperature range,1.0
wheat,2017-01-01,2017-01-15,2017-01_Q1,25.9,2.54,6.46,VIABLE_WITH_RESERVE,warm for crop,0.6833
wheat,2017-01-16,2017-01-31,2017-01_Q2,27.35,3.21,10.31,VIABLE_WITH_RESERVE,warm for crop,0.4417
wheat,2017-02-01,2017-02-15,2017-02_Q1,26.6,4.27,18.2,VIABLE_WITH_RESERVE,warm for crop,0.5667
wheat,2017-02-16,2017-02-28,2017-02_Q2,23.24,3.63,13.18,VIABLE,optimal temperature range,1.0
wheat,2017-03-01,2017-03-15,2017-03_Q1,22.11,1.76,3.09,VIABLE,optimal temperature range,1.0
wheat,2017-03-16,2017-03-31,2017-03_Q2,21.35,2.56,6.53,VIABLE,optimal temperature range,1.0
wheat,2017-04-01,2017-04-15,2017-04_Q1,15.86,1.69,2.87,VIABLE,optimal temperature range,1.0
wheat,2017-04-16,2017-04-30,2017-04_Q2,15.07,3.14,9.84,VIABLE,optimal temperature range,1.0
wheat,2017-05-01,2017-05-15,2017-05_Q1,12.26,1.84,3.39,VIABLE,optimal temperature range,1.0
wheat,2017-05-16,2017-05-31,2017-05_Q2,11.13,2.95,8.69,VIABLE,optimal temperature range,1.0
wheat,2017-06-01,2017-06-15,2017-06_Q1,8.39,1.97,3.87,VIABLE_WITH_RESERVE,cool for crop,0.678
wheat,2017-06-16,2017-06-30,2017-06_Q2,7.31,1.57,2.47,VIABLE_WITH_RESERVE,cool for crop,0.462
wheat,2017-07-01,2017-07-15,2017-07_Q1,7.14,1.71,2.94,VIABLE_WITH_RESERVE,cool for crop,0.428
wheat,2017-07-16,2017-07-31,2017-07_Q2,7.57,2.45,5.98,VIABLE_WITH_RESERVE,cool for crop,0.514
wheat,2017-08-01,2017-08-15,2017-08_Q1,8.98,2.69,7.26,VIABLE_WITH_RESERVE,cool for crop,0.796
wheat,2017-08-16,2017-08-31,2017-08_Q2,6.9,1.93,3.71,VIABLE_WITH_RESERVE,cool for crop,0.38
wheat,2017-09-01,2017-09-15,2017-09_Q1,9.98,3.1,9.63,VIABLE_WITH_RESERVE,cool for crop,0.996
wheat,2017-09-16,2017-09-30,2017-09_Q2,14.3,4.3,18.53,VIABLE,optimal temperature range,1.0
wheat,2017-10-01,2017-10-15,2017-10_Q1,16.61,2.18,4.74,VIABLE,optimal temperature range,1.0
wheat,2017-10-16,2017-10-31,2017-10_Q2,18.17,3.1,9.62,VIABLE,optimal temperature range,1.0
wheat,2017-11-01,2017-11-15,2017-11_Q1,18.35,2.71,7.33,VIABLE,optimal temperature range,1.0
wheat,2017-11-16,2017-11-30,2017-11_Q2,21.94,2.54,6.47,VIABLE,optimal temperature range,1.0
wheat,2017-12-01,2017-12-15,2017-12_Q1,20.62,4.33,18.76,VIABLE,optimal temperature range,1.0
