crop,period_start,period_end,label,mean_C,std_C,var_C,temp_status,temp_detail,temp_score
sugarcane,2016-01-01,2016-01-15,2016-01_Q1,22.81,1.65,2.73,VIABLE,optimal temperature range,1.0
sugarcane,2016-01-16,2016-01-31,2016-01_Q2,24.26,1.99,3.96,VIABLE,optimal temperature range,1.0
sugarcane,2016-02-01,2016-02-15,2016-02_Q1,23.77,1.69,2.85,VIABLE,optimal temperature range,1.0
sugarcane,2016-02-16,2016-02-29,2016-02_Q2,24.59,0.96,0.93,VIABLE,optimal temperature range,1.0
sugarcane,2016-03-01,2016-03-15,2016-03_Q1,23.21,0.42,0.18,VIABLE,optimal temperature range,1.0
sugarcane,2016-03-16,2016-03-31,2016-03_Q2,22.17,1.3,1.7,VIABLE,optimal temperature range,1.0
sugarcane,2016-04-01,2016-04-15,2016-04_Q1,22.19,1.52,2.31,VIABLE,optimal temperature range,1.0
sugarcane,2016-04-16,2016-04-30,2016-04_Q2,20.4,0.72,0.52,VIABLE,optimal temperature range,1.0
sugarcane,2016-05-01,2016-05-15,2016-05_Q1,20.09,1.52,2.3,VIABLE,optimal temperature range,1.0
sugarcane,2016-05-16,2016-05-31,2016-05_Q2,18.32,1.9,3.62,VIABLE_WITH_RESERVE,cool for crop,0.664
sugarcane,2016-06-01,2016-06-15,2016-06_Q1,16.46,1.22,1.48,VIABLE_WITH_RESERVE,cool for crop,0.292
sugarcane,2016-06-16,2016-06-30,2016-06_Q2,15.23,2.21,4.87,VIABLE_WITH_RESERVE,cool for crop,0.046
sugarcane,2016-07-01,2016-07-15,2016-07_Q1,14.77,1.65,2.73,NOT_RECOMMENDED,too cold for crop,0.0
sugarcane,2016-07-16,2016-07-31,2016-07_Q2,16.55,1.66,2.75,VIABLE_WITH_RESERVE,cool for crop,0.31
sugarcane,2016-08-01,2016-08-15,2016-08_Q1,15.35,1.34,1.79,VIABLE_WITH_RESERVE,cool for crop,0.07
sugarcane,2016-08-16,2016-08-31,2016-08_Q2,15.88,1.48,2.18,VIABLE_WITH_RESERVE,cool for crop,0.176
sugarcane,2016-09-01,2016-09-15,2016-09_Q1,18.12,1.4,1.95,VIABLE_WITH_RESERVE,cool for crop,0.624
sugarcane,2016-09-16,2016-09-30,2016-09_Q2,18.3,0.65,0.42,VIABLE_WITH_RESERVE,cool for crop,0.66
sugarcane,2016-10-01,2016-10-15,2016-10_Q1,18.93,1.68,2.82,VIABLE_WITH_RESERVE,cool for crop,0.786
sugarcane,2016-10-16,2016-10-31,2016-10_Q2,20.23,1.61,2.58,VIABLE,optimal temperature range,1.0
sugarcane,2016-11-01,2016-11-15,2016-11_Q1,22.72,1.94,3.76,VIABLE,optimal temperature range,1.0
sugarcane,2016-11-16,2016-11-30,2016-11_Q2,21.97,0.99,0.99,VIABLE,optimal temperature range,1.0
sugarcane,2016-12-01,2016-12-15,2016-12_Q1,24.52,1.75,3.07,VIABLE,optimal temperature range,1.0
sugarcane,2016-12-16,2016-12-31,2016-12_Q2,24.31,1.95,3.8,VIABLE,optimal temperature range,1.0
sugarcane,2017-01-01,2017-01-15,2017-01_Q1,25.18,2.28,5.22,VIABLE,optimal temperature range,1.0
sugarcane,2017-01-16,2017-01-31,2017-01_Q2,25.69,1.64,2.68,VIABLE,optimal temperature range,1.0
sugarcane,2017-02-01,2017-02-15,2017-02_Q1,26.8,1.84,3.38,VIABLE,optimal temperature range,1.0
sugarcane,2017-02-16,2017-02-28,2017-02_Q2,23.65,1.82,3.3,VIABLE,optimal temperature range,1.0
sugarcane,2017-03-01,2017-03-15,2017-03_Q1,22.59,0.88,0.78,VIABLE,optimal temperature range,1.0
sugarcane,2017-03-16,2017-03-31,2017-03_Q2,23.4,0.93,0.87,VIABLE,optimal temperature range,1.0
sugarcane,2017-04-01,2017-04-15,2017-04_Q1,19.57,0.87,0.76,VIABLE_WITH_RESERVE,cool for crop,0.914
sugarcane,2017-04-16,2017-04-30,2017-04_Q2,18.99,0.89,0.8,VIABLE_WITH_RESERVE,cool for crop,0.798
sugarcane,2017-05-01,2017-05-15,2017-05_Q1,17.9,1.04,1.08,VIABLE_WITH_RESERVE,cool for crop,0.58
sugarcane,2017-05-16,2017-05-31,2017-05_Q2,17.45,1.16,1.34,VIABLE_WITH_RESERVE,cool for crop,0.49
sugarcane,2017-06-01,2017-06-15,2017-06_Q1,15.6,1.05,1.1,VIABLE_WITH_RESERVE,cool for crop,0.12
sugarcane,2017-06-16,2017-06-30,2017-06_Q2,16.17,1.0,1.0,VIABLE_WITH_RESERVE,cool for crop,0.234
sugarcane,2017-07-01,2017-07-15,2017-07_Q1,14.63,1.39,1.94,NOT_RECOMMENDED,too cold for crop,0.0
sugarcane,2017-07-16,2017-07-31,2017-07_Q2,15.22,1.59,2.54,VIABLE_WITH_RESERVE,cool for crop,0.044
sugarcane,2017-08-01,2017-08-15,2017-08_Q1,16.12,1.7,2.89,VIABLE_WITH_RESERVE,cool for crop,0.224
sugarcane,2017-08-16,2017-08-31,2017-08_Q2,16.51,2.34,5.48,VIABLE_WITH_RESERVE,cool for crop,0.302
sugarcane,2017-09-01,2017-09-15,2017-09_Q1,17.77,2.11,4.45,VIABLE_WITH_RESERVE,cool for crop,0.554
sugarcane,2017-09-16,2017-09-30,2017-09_Q2,21.37,2.67,7.1,VIABLE,optimal temperature range,1.0
sugarcane,2017-10-01,2017-10-15,2017-10_Q1,20.47,2.16,4.68,VIABLE,optimal temperature range,1.0
sugarcane,2017-10-16,2017-10-31,2017-10_Q2,20.28,2.44,5.95,VIABLE,optimal temperature range,1.0
sugarcane,2017-11-01,2017-11-15,2017-11_Q1,19.62,1.51,2.29,VIABLE_WITH_RESERVE,cool for crop,0.924
sugarcane,2017-11-16,2017-11-30,2017-11_Q2,20.66,1.31,1.72,VIABLE,optimal temperature range,1.0
sugarcane,2017-12-01,2017-12-15,2017-12_Q1,22.96,1.17,1.36,VIABLE,optimal temperature range,1.0
sugarcane,2017-12-16,2017-12-31,2017-12_Q2,24.47,1.32,1.73,VIABLE,optimal temperature range,1.0
sugarcane,2018-01-01,2018-01-15,2018-01_Q1,24.62,1.92,3.69,VIABLE,optimal temperature range,1.0
sugarcane,2018-01-16,2018-01-31,2018-01_Q2,23.76,1.34,1.78,VIABLE,optimal temperature range,1.0
sugarcane,2018-02-01,2018-02-15,2018-02_Q1,23.25,3.04,9.27,VIABLE,optimal temperature range,1.0
sugarcane,2018-02-16,2018-02-28,2018-02_Q2,23.74,1.42,2.01,VIABLE,optimal temperature range,1.0
sugarcane,2018-03-01,2018-03-15,2018-03_Q1,22.66,1.61,2.6,VIABLE,optimal temperature range,1.0
sugarcane,2018-03-16,2018-03-31,2018-03_Q2,23.0,1.01,1.02,VIABLE,optimal temperature range,1.0
sugarcane,2018-04-01,2018-04-15,2018-04_Q1,22.2,0.83,0.68,VIABLE,optimal temperature range,1.0
sugarcane,2018-04-16,2018-04-30,2018-04_Q2,19.51,1.54,2.38,VIABLE_WITH_RESERVE,cool for crop,0.902
sugarcane,2018-05-01,2018-05-15,2018-05_Q1,18.32,1.71,2.92,VIABLE_WITH_RESERVE,cool for crop,0.664
sugarcane,2018-05-16,2018-05-31,2018-05_Q2,16.5,0.69,0.48,VIABLE_WITH_RESERVE,cool for crop,0.3
sugarcane,2018-06-01,2018-06-15,2018-06_Q1,15.84,0.97,0.94,VIABLE_WITH_RESERVE,cool for crop,0.168
sugarcane,2018-06-16,2018-06-30,2018-06_Q2,14.53,1.16,1.34,NOT_RECOMMENDED,too cold for crop,0.0
sugarcane,2018-07-01,2018-07-15,2018-07_Q1,15.06,2.35,5.5,VIABLE_WITH_RESERVE,cool for crop,0.012
sugarcane,2018-07-16,2018-07-31,2018-07_Q2,15.34,1.54,2.37,VIABLE_WITH_RESERVE,cool for crop,0.068
