point_id,lat,lon,crop,period_start,period_end,label,month,biweek,mean_C,std_C,precip_total_mm,precip_rainy_days,pet_mm,spei_1m,spei_3m,spei_6m,spei_12m,AWC_mm,Storage_mm,P_acum_mm,WRSI_1m,deficit_1m,future_deficit_1m,future_deficit_3m,future_deficit_6m,future_deficit_1m_mm,future_deficit_3m_mm,future_deficit_6m_mm,past_deficit_3m,past_deficit_6m,suggestion
p121,-33.152309,136.431714,wheat,2016-12-16,2016-12-31,2016-12_Q2,12,2,22.32,4.15,21.99,3,57.66,0.772,-0.011,0.691,1.005,86.05,0.0,33.9,0.144,85.6,76.5648,84.7242,77.9259,146.14,369.05,466.48,81.1256,73.1417,NOT_SUITABLE
p121,-33.152309,136.431714,wheat,2017-01-01,2017-01-15,2017-01_Q1,1,1,22.46,4.1,14.23,2,63.61,-0.752,0.222,0.287,0.978,86.05,0.0,0.0,0.0,100.0,62.5176,81.9086,74.8421,96.04,301.26,393.1,90.2825,77.8294,NOT_SUITABLE
p121,-33.152309,136.431714,wheat,2017-01-16,2017-01-31,2017-01_Q2,1,2,23.47,3.83,14.94,2,63.61,0.96,0.741,0.85,1.206,86.05,0.0,44.73,0.2344,76.56,89.7751,87.2154,75.7825,112.82,274.44,356.39,90.0343,81.7446,NOT_SUITABLE
p121,-33.152309,136.431714,wheat,2017-02-01,2017-02-15,2017-02_Q1,2,1,23.75,4.5,21.66,3,50.04,1.253,1.02,1.149,1.226,86.05,0.0,57.58,0.3748,62.52,92.6265,90.0158,74.0386,112.56,246.85,334.84,86.7922,81.336,NOT_SUITABLE
p121,-33.152309,136.431714,wheat,2017-02-16,2017-02-28,2017-02_Q2,2,2,20.03,3.89,0.0,0,50.04,0.431,0.976,1.04,1.22,86.05,0.0,12.85,0.1022,89.78,92.4738,78.0627,67.7432,110.09,187.39,300.11,83.4869,82.6277,NOT_SUITABLE
p121,-33.152309,136.431714,wheat,2017-03-01,2017-03-15,2017-03_Q1,3,1,23.16,2.79,9.72,1,51.94,-0.759,0.52,0.957,0.958,86.05,0.0,8.96,0.0737,92.63,100.0,73.8514,68.6602,92.66,147.23,325.51,83.4248,84.1927,NOT_SUITABLE
p121,-33.152309,136.431714,wheat,2017-03-16,2017-03-31,2017-03_Q2,3,2,20.86,4.63,5.8,1,51.94,-1.259,0.012,0.223,0.836,86.05,0.0,8.96,0.0753,92.47,73.6669,59.7617,70.5327,51.53,97.43,355.64,86.2764,83.3132,NOT_SUITABLE
p121,-33.152309,136.431714,wheat,2017-04-01,2017-04-15,2017-04_Q1,4,1,17.0,2.55,0.0,0,29.33,-1.084,0.089,0.291,0.783,86.05,0.0,0.0,0.0,100.0,69.3263,58.3342,72.5844,41.63,91.84,434.15,84.7242,88.1407,NOT_SUITABLE
p121,-33.152309,136.431714,wheat,2017-04-16,2017-04-30,2017-04_Q2,4,2,16.76,3.48,39.79,2,29.33,0.421,-0.44,0.29,0.815,86.05,0.0,18.42,0.2633,73.67,50.4766,52.6624,77.4657,25.77,81.95,520.88,81.9086,87.1752,NOT_SUITABLE
p121,-33.152309,136.431714,wheat,2017-05-01,2017-05-15,2017-05_Q1,5,1,12.85,1.89,0.0,0,17.79,0.498,-0.778,0.269,0.655,86.05,0.0,18.42,0.3067,69.33,27.7294,49.426,79.7056,12.93,87.99,618.89,87.2154,86.9287,NOT_SUITABLE
